,carmodel,car_model
295,856.0,Navigator
296,305.0,A6
297,654.0,911
298,659.0,Macan
299,256.0,Odyssey
300,22.0,Opirus
301,560.0,Urvan
302,579.0,408
303,430.0,NX
304,1061.0,Cerato Koup
305,415.0,A2
306,326.0,i3
307,922.0,Forester
308,590.0,Fortwo
309,1089.0,XC40
310,225.0,Starex
311,824.0,Dòng khác
312,127.0,Express
313,449.0,GLE Class
314,1092.0,X7
315,79.0,MR 2
316,1108.0,Raize
317,207.0,H 1
318,1104.0,VFe34
319,739.0,Dòng khác
320,420.0,Wrangler
321,384.0,Doblo
322,414.0,Dòng khác
323,290.0,Premacy
324,1034.0,S90
325,185.0,Dòng khác
326,925.0,Outback
327,711.0,Continental
328,715.0,Electra
329,687.0,Rexton
330,408.0,NQR
331,930.0,T880
332,409.0,Pick up
333,1084.0,Dòng khác
334,219.0,Mighty
335,310.0,Q3
336,740.0,200
337,877.0,Dòng khác
338,574.0,308
339,197.0,eMighty
340,864.0,U7
341,796.0,Englon
342,873.0,Dòng khác
343,72.0,Ipsum
344,924.0,Legacy
345,341.0,Dòng khác
346,558.0,Tiida
347,346.0,Cielo
348,1057.0,Trailblazer
349,392.0,Tempra
350,351.0,GentraX
351,667.0,Duster
352,685.0,Kyron
353,270.0,323F
354,204.0,Accent
355,624.0,Scirocco
356,964.0,740
357,798.0,Hummer
358,644.0,Dòng khác
359,483.0,GTO
360,1035.0,XC60
361,716.0,Lasabre
362,874.0,Paso
363,514.0,Bluebird
364,44.0,Alphard
365,609.0,Wagon R+
366,853.0,Dòng khác
367,617.0,Jetta
368,1072.0,Maybach
369,410.0,QKR
370,564.0,Dòng khác
371,565.0,107
372,288.0,MX 6
373,1071.0,Outlander Sport
374,466.0,Cooper
375,373.0,Charade
376,651.0,Range Rover Sport
377,612.0,Beetle
378,999.0,159
379,377.0,Dòng khác
380,701.0,Dòng khác
381,215.0,Lantra
382,407.0,NPR
383,974.0,T600
384,1013.0,Pickup
385,335.0,X4
386,712.0,Flying Spur
387,199.0,Equus
388,266.0,Dòng khác
389,347.0,Damas
390,647.0,Freelander
391,509.0,300ZX
392,700.0,Zagato
393,109.0,Acononline
394,17.0,K5
395,153.0,Avanlanche
396,424.0,GS
397,1063.0,QX60
398,412.0,Trooper
399,865.0,Dòng khác
400,298.0,80
401,708.0,Dòng khác
402,442.0,CLK Class
403,123.0,Escort
404,633.0,EL
405,763.0,Dòng khác
406,456.0,SL Class
407,348.0,Espero
408,653.0,Dòng khác
409,156.0,Camaro
410,42.0,86
411,228.0,Trajet
412,1054.0,Hunter
413,440.0,CL Class
414,117.0,Contour
415,334.0,X3
416,537.0,Pick up
417,18.0,K7
418,928.0,Dòng khác
419,862.0,M7
420,49.0,Avensis
421,222.0,S coupe
422,438.0,B Class
423,652.0,Range Rover Vogue
424,670.0,Koleos
425,807.0,M8
426,46.0,Aristo
427,658.0,Cayman
428,191.0,Click
429,905.0,Perdana
430,731.0,Dòng khác
431,166.0,Express
432,596.0,Balenno
433,809.0,S7
434,688.0,Tivoli
435,1008.0,Bentayga
436,75.0,Liteace
437,757.0,C2
438,851.0,520
439,106.0,Yaris Verso
440,914.0,QM5
441,933.0,Dòng khác
442,473.0,Challenger
443,833.0,Dòng khác
444,730.0,STS
445,379.0,500
446,985.0,Dòng khác
447,475.0,Colt
448,1021.0,Levante
449,1086.0,BR-V
450,480.0,Galant
451,645.0,Defender
452,330.0,M4
453,1075.0,Quoris
454,506.0,100NX
455,233.0,Veloster
456,535.0,Pathfinder
457,810.0,Dòng khác
458,3.0,Cadenza
459,150.0,Wind star
460,860.0,7 MPV
461,792.0,Gazele
462,575.0,309
463,339.0,Z4
464,92.0,Solara
465,395.0,Dòng khác
466,1020.0,Range Rover Velar
467,774.0,Dòng khác
468,116.0,Club wagon
469,201.0,Galloper
470,81.0,Platz
471,217.0,Libero
472,867.0,Dòng khác
473,593.0,Aerio
474,376.0,Terios
475,829.0,XE
476,1064.0,QX70
477,1032.0,3
478,25.0,Potentia
479,236.0,Xcent
480,34.0,Sephia
481,355.0,Labo
482,1076.0,Dòng khác
483,1005.0,Q2
484,983.0,Phantom
485,397.0,Ascender
486,643.0,ZDX
487,398.0,Aska
488,854.0,Aviator
489,918.0,Dòng khác
490,401.0,FVR
491,193.0,Coupe
492,77.0,Matrix
493,819.0,FX
494,375.0,Hijet
495,237.0,XG
496,567.0,206
497,768.0,Journey
498,546.0,Quest
499,966.0,850
500,159.0,Cavalier
501,578.0,406
502,888.0,Antara
503,286.0,MX 3
504,876.0,Pronto
505,453.0,ML Class
