,region,region_name
0,12,Hà Nội
1,5,Long An
2,13,Tp Hồ Chí Minh
3,2,Bình Dương
4,3,Đà Nẵng
5,10,Quảng Ninh
6,9,Lâm Đồng
7,4,Hải Phòng
8,7,Bình Định
9,1,Ninh Bình
10,8,Hà Tĩnh
11,6,Quảng Trị
12,11,Điện Biên
