,carorigin,origin
0,7.0,Nước khác
1,1.0,Việt Nam
2,4.0,Thái Lan
3,5.0,Nhật Bản
4,8.0,Mỹ
5,9.0,Đức
6,6.0,Trung Quốc
7,3.0,Hàn Quốc
8,10.0,Đài Loan
9,2.0,Ấn Độ
