,carcolor,car_color
0,1,Đen
1,2,Trắng
2,3,Bạc
3,8,Cam
4,5,Đỏ
5,6,Xanh dương
6,7,Vàng
7,10,Xanh lá
8,11,Hồng
9,4,Xám
10,9,Nâu
11,12,Màu khác
